ITEM,REFERENCES,VALUE,FOOTPRINT,MANUFACTUER,SUPPLIER,SUPPLIER,PART,NUMBER,Notes,
1,C1,10nF,402,TDK,Mouser,810-C0402X5R0J103K,"ceramic, X5R, 6V",,,
2,C2,10nF,402,TDK,Mouser,810-C0402X5R0J103K,"ceramic, X5R, 6V",,,
3,C3,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
4,C4,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
5,C5,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
6,C6,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
7,C7,10nF,402,TDK,Mouser,810-C0402X5R0J103K,"ceramic, X5R, 6V",,,
8,C8,10nF,402,TDK,Mouser,810-C0402X5R0J103K,"ceramic, X5R, 6V",,,
9,C9,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
10,C10,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
11,C11,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
12,C12,100nF,402,TDK,Mouser,810-C1005X5R1C104K,"ceramic, X5R, 16V",,,
13,C13,10uF,603,TDK,Mouser,810-C1608X5R1E106M,"ceramic, X5R, 25V",,,
14,C14,0.1uF,402,Murata,Mouser,81-GRM155R71C104KA88,"ceramic,X5R,10V",,,
15,C15,10uF,603,TDK,Mouser,810-C1608X5R1E106M,"ceramic, X5R, 25V",,,
16,C16,7pF,402,Murata,Mouser,81-GJM1555C1H7R0BB1D,"crystal load: high Q, low loss, +/-0.1pF",,,
17,C17,4.7pF,402,AVX,Mouser,581-04025U4R7BAT2A,"crystal load: high Q, low loss, +/-0.1pF",,,
18,C18,33pF,402,Johansson,Mouser,609-500R07S330JV4T,ceramic,,,
19,C19,10uF,603,TDK,Mouser,810-C1608X5R1E106M,"ceramic, X5R, 25V",,,
20,C20,10uF,603,TDK,Mouser,810-C1608X5R1E106M,"ceramic, X5R, 25V",,,
21,C21,47nF,402,Vishay,Mouser,77-VJ0402Y473JXQCBC,ceramic,,,
22,C22,10uF,603,TDK,Mouser,810-C1608X5R1E106M,"ceramic, X5R, 25V",,,
23,C23,10uF,603,TDK,Mouser,810-C1608X5R1E106M,"ceramic, X5R, 25V",,,
24,C24,1nF,402,Kermet,Mouser,80-C0402C102J4R,"ceramic, X7R, 16V",,,
25,C25,0.1uF,402,Murata,Mouser,81-GRM155R71C104KA88,"ceramic, X7R, 16V, 10%",,,
26,C26,1nF,402,Kermet,Mouser,80-C0402C102J4R,"ceramic, X7R, 16V",,,
